r_fighter,b_fighter,height_diff,reach_diff,age_diff,strike_eff_diff,grapple_eff_diff,performance_diff,win_ratio_diff,r_fighter_win
Brandon Moreno,Brandon Royval,-5.079999999999984,5.0800000000000125,-2.0,-0.4200000000000004,-0.15000000000000002,0.0010766329063142122,-0.014285714285714346,0
Yair Rodriguez,Brian Ortega,7.6200000000000045,5.0800000000000125,-1.0,3.0299999999999994,0.03999999999999998,0.07615348136793787,-0.033333333333333326,0
Daniel Zellhuber,Francisco Prado,7.619999999999976,20.32000000000002,3.0,0.8399999999999999,0.51,0.4465369692324733,0.01025641025641022,1
Yazmin Jauregui,Sam Hughes,-5.079999999999984,0.0,-7.0,1.83,0.010000000000000009,0.3079979522245605,0.29370629370629364,1
Manuel Torres,Chris Duncan,0.0,5.079999999999984,-2.0,4.5600000000000005,-0.19500000000000006,0.5066885106026267,-0.04166666666666663,1
Cristian Quinonez,Raoni Barcelos,2.539999999999992,7.6200000000000045,-9.0,-0.2499999999999991,0.29000000000000004,0.09153858589729391,0.045454545454545525,0
Jesus Aguilar,Mateus Mendonca,-5.079999999999984,-22.860000000000014,3.0,4.91,-0.08500000000000002,0.038846410854407265,-0.015151515151515138,1
Edgar Chairez,Daniel Lacerda,2.5400000000000205,2.539999999999992,0.0,2.8799999999999994,0.015000000000000013,-0.16499870666814354,-0.02083333333333337,1
Claudio Puelles,Fares Ziam,-7.619999999999976,-7.6200000000000045,1.0,-1.9200000000000002,-0.040000000000000036,-0.19307609401804082,0.03472222222222221,0
Victor Altamirano,Felipe dos Santos,2.539999999999992,0.0,9.0,1.88,0.44,0.024078249571134802,-0.07499999999999996,0
Erik Silva,Muhammad Naimov,0.0,2.539999999999992,7.0,1.88,0.33,-0.01869131282164893,-0.015151515151515138,0
Alexander Volkanovski,Ilia Topuria,-2.5400000000000205,5.0800000000000125,9.0,1.38,-0.20500000000000007,0.10638316453157137,-0.10344827586206895,0
Robert Whittaker,Paulo Costa,-2.539999999999992,2.539999999999992,0.0,0.9599999999999995,-0.16500000000000004,-0.2768444708566228,-0.09375,1
Merab Dvalishvili,Henry Cejudo,5.079999999999984,10.159999999999997,-4.0,1.2699999999999996,-0.014999999999999902,0.047230329829561546,-0.042105263157894646,1
